backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,error
triton_v3_fixed_best,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,1024,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,1024,128,fp16,True,0.28983135223388673,29.666642803575527,,
triton_v7_fixed_best_cutoff,1,32,1024,128,fp16,True,0.4690617752075195,18.33089723884659,,
triton_v8_dispatch_fixed_best,1,32,1024,128,fp16,True,0.28971616744995116,29.67843760906222,,
flash_attn,1,32,2048,128,fp16,True,0.9083417510986328,37.845354507179536,,
torch_sdpa,1,32,2048,128,fp16,True,0.9187197113037109,37.41784916666035,,
triton_v0_baseline,1,32,2048,128,fp16,True,2.0761839294433595,16.557548248250143,,
triton_v1_codegen_hints,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,2048,128,fp16,True,2.0445266723632813,16.813923754911922,,
triton_v3_fixed_best,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,2048,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,2048,128,fp16,True,0.9813539123535157,35.02968210679172,,
triton_v7_fixed_best_cutoff,1,32,2048,128,fp16,True,1.7002601623535156,20.21838560071637,,
triton_v8_dispatch_fixed_best,1,32,2048,128,fp16,True,0.9810588836669922,35.04021639915007,,
flash_attn,1,32,4096,128,fp16,True,3.3962127685546877,40.478178863482576,,
torch_sdpa,1,32,4096,128,fp16,True,3.4456689453125,39.89718980142247,,
triton_v0_baseline,1,32,4096,128,fp16,True,7.88194091796875,17.4414537402328,,
triton_v1_codegen_hints,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,4096,128,fp16,True,7.779465942382813,17.671201200977663,,
triton_v3_fixed_best,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,4096,128,fp16,True,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,4096,128,fp16,True,3.558335876464844,38.633932455127585,,
triton_v7_fixed_best_cutoff,1,32,4096,128,fp16,True,6.4457958984375,21.327468332859276,,
triton_v8_dispatch_fixed_best,1,32,4096,128,fp16,True,3.5571826171875,38.64645780055373,,
