backend,batch,heads,seq_len,head_dim,dtype,causal,avg_ms,tflops,max_abs_err,config,error
triton_v1_codegen_hints,1,32,4096,64,fp16,True,4.13859619140625,16.608591602807273,,,
triton_v2_autotune,1,32,4096,64,fp16,True,3.3808538818359377,20.331033624757985,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,4096,64,fp16,True,4.138143920898438,16.61040680699104,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)",
triton_v4_causal_cutoff,1,32,4096,64,fp16,True,2.153384246826172,31.920106248250367,,,
triton_v5_even_fastpath,1,32,4096,64,fp16,True,2.1286972045898436,32.290291829102145,,,
triton_v6_autotune_cutoff,1,32,4096,64,fp16,True,1.7975039672851563,38.23983434974843,,"BLOCK_M: 64, BLOCK_N: 32, num_warps: 4, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v7_fixed_best_cutoff,1,32,4096,64,fp16,True,1.7984104919433594,38.22055879896681,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v8_dispatch_fixed_best,1,32,4096,64,fp16,True,1.8008326721191406,38.16915086903338,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=3)",
triton_v9_autotune_table,1,32,4096,64,fp16,True,1.7824739074707032,38.56227777804357,,"KernelConfig(block_m=64, block_n=32, num_warps=4, num_stages=2)",
flash_attn,1,32,256,128,fp16,True,0.029006400108337403,18.581004950182795,,,
torch_matmul_softmax,1,32,256,128,fp16,True,0.0858512020111084,6.277932648284438,,,
torch_sdpa_auto,1,32,256,128,fp16,True,0.029243199825286864,18.43054341590722,,,
torch_sdpa_cudnn,1,32,256,128,fp16,True,0.030104959011077882,17.90296621236631,,,
torch_sdpa_efficient_cutlass,1,32,256,128,fp16,True,0.041452159881591795,13.002170828723129,,,
torch_sdpa_flash_pytorch,1,32,256,128,fp16,True,0.02924544095993042,18.42913104775707,,,
triton_v0_baseline,1,32,256,128,fp16,True,0.05217599868774414,10.329808294145803,,,
triton_v1_codegen_hints,1,32,256,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v2_autotune,1,32,256,128,fp16,True,0.04978975772857666,10.824878219695798,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 3, maxnreg: None",
triton_v3_fixed_best,1,32,256,128,fp16,True,,,,"KernelConfig(block_m=128, block_n=64, num_warps=8, num_stages=4)","out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v4_causal_cutoff,1,32,256,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v5_even_fastpath,1,32,256,128,fp16,True,,,,,"out of resource: shared memory, Required: 131072, Hardware limit: 101376. Reducing block sizes or `num_stages` may help."
triton_v6_autotune_cutoff,1,32,256,128,fp16,True,0.03601919889450073,14.96335511454941,,"BLOCK_M: 128, BLOCK_N: 32, num_warps: 8, num_ctas: 1, num_stages: 5, maxnreg: None",
